Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Cooking Essentials,Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,FALSE,70
Cooking Essentials,iD Idli & Dosa Batter,8000,15,6,6800,1000,FALSE,1
Cooking Essentials,Tata Salt,2400,0,6,2400,1000,FALSE,1
Cooking Essentials,Arden Eggs White,9700,0,4,9700,696,FALSE,12
Cooking Essentials,Arden Eggs White,6500,15,4,5500,348,FALSE,6
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),23000,4,6,21900,1000,FALSE,1
Cooking Essentials,Aashirvaad Superior MP Atta,25000,2,6,24500,5000,FALSE,5
Cooking Essentials,Amul Pure Ghee (Pouch),25500,2,6,24900,500,FALSE,500
Cooking Essentials,Arden Eggs Brown,8500,7,4,7900,348,FALSE,6
Cooking Essentials,Tata Salt Lite,4000,10,6,3600,1000,FALSE,1
Cooking Essentials,Saffola Gold Oil (Pouch),21500,0,6,21500,1000,FALSE,1
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),92500,0,6,92500,5000,FALSE,5
Cooking Essentials,Fortune Rice Bran (Pouch),22500,11,6,19900,1000,FALSE,1
Cooking Essentials,Saffola Active Oil,21000,0,6,21000,1000,FALSE,1
Cooking Essentials,Amul Pure Ghee (Pouch),50500,1,2,49900,1000,FALSE,1
Cooking Essentials,Aashirvaad Atta,46000,13,6,39900,10000,FALSE,10
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),16000,6,4,14900,1000,FALSE,1
Cooking Essentials,Amul Ghee (Tin),52000,2,6,50900,1000,FALSE,1
Cooking Essentials,Amul Fresh Cream,19700,3,3,19100,1000,FALSE,1
Cooking Essentials,Popular Essentials Pure Jaggery,5000,2,6,4900,450,FALSE,450
Cooking Essentials,Aashirvaad Multigrain Atta,6400,3,2,6200,1000,FALSE,1
Cooking Essentials,Fortune Soyabean Oil,100500,0,6,99900,5000,FALSE,5
Cooking Essentials,Popular Essentials Sunflower Seeds,2500,0,6,2500,50,FALSE,50
Cooking Essentials,Tata Sampann kabuli chana,18500,1,4,18300,1000,FALSE,500
Cooking Essentials,Dhara Groundnut Oil (Pouch),23000,11,6,20300,1000,FALSE,1
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,120000,18,6,98400,5000,FALSE,5
Cooking Essentials,24 Mantra Organic Jaggery Powder,8000,15,6,6800,500,FALSE,500
Cooking Essentials,Tata Sampann High Protien Kabuli Chana,9400,0,1,9400,500,FALSE,500
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,125000,8,6,114300,5000,FALSE,5
Cooking Essentials,D'lecta Dairy Cream,5400,5,6,5100,200,FALSE,200
Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,1500,0,3,1500,60,FALSE,60
Cooking Essentials,Dabur Ginger Garlic Paste,2500,8,3,2300,100,FALSE,100
Cooking Essentials,Ching's Secret Instant Schezwan Noodles,1500,0,6,1500,60,FALSE,60
Cooking Essentials,Gowardhan Ghee/Tuppa Jar,31500,1,6,30900,500,FALSE,500
Cooking Essentials,Tata Sampann Unpolished Moong Dal,9200,4,4,8800,500,FALSE,500
Cooking Essentials,Aashirvaad Select Atta,6400,0,6,6400,1000,FALSE,1
Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar),1500,0,4,1500,100,FALSE,100
Cooking Essentials,Gowardhan Ghee Jar,59800,3,6,57900,1000,FALSE,1
Cooking Essentials,Top Ramen Noodles Curry Veg Pouch,2000,0,1,2000,70,FALSE,70
Cooking Essentials,Popular Essentials Refined Sugar,6000,0,6,6000,1000,FALSE,1
Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,21600,7,6,19900,1000,FALSE,1
Cooking Essentials,Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,FALSE,38
Cooking Essentials,Satyam Puffed Rice Kurmura (R),2300,0,6,2300,200,FALSE,200
Cooking Essentials,Quaker Oats,7900,0,2,7900,400,FALSE,400
Cooking Essentials,Aashirvaad Select Sharbati Atta,31500,10,6,28300,5000,FALSE,5
Cooking Essentials,Popular Essentials Refined Sugar,29500,10,6,26500,5000,FALSE,5
Cooking Essentials,Gowardhan Cow Ghee Pouch,57900,10,6,52100,1000,FALSE,1
Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,21000,5,6,19900,1000,FALSE,1
Cooking Essentials,Parachute Oil,4000,7,3,3700,100,FALSE,100
Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),1800,0,6,1800,100,FALSE,100
Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,FALSE,200
Cooking Essentials,Saffola Gold (Jar),124000,0,6,124000,5000,FALSE,5
Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,FALSE,240
Cooking Essentials,Fortune Rice Bran Health Oil (Jar),105000,1,6,103900,5000,FALSE,5
Cooking Essentials,Arden Desi Eggs,11000,13,4,9500,348,FALSE,6
Cooking Essentials,Fortune Rozana Basmati Rice,58500,21,6,46200,5000,FALSE,5
Cooking Essentials,Fortune Biriyani Special Basmati Rice,17500,0,5,17500,1000,FALSE,1
Cooking Essentials,Everest Garam Masala,7800,7,5,7200,100,FALSE,100
Cooking Essentials,Popular Essentials Pumpkin Seeds,9000,16,6,7500,100,FALSE,100
Cooking Essentials,Fortune Soya Health Refined Soybean Oil,21000,1,2,20600,1000,FALSE,1
Cooking Essentials,Gowardhan Pure Ghee Pouch,29500,4,6,28100,500,FALSE,500
Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,4000,5,3,3800,100,FALSE,100
Cooking Essentials,Weikfield Baking Soda,3000,3,6,2900,100,FALSE,100
Cooking Essentials,Everest Pav Bhaji Masala,3700,10,4,3300,50,FALSE,50
Cooking Essentials,Tata Sampann Unpolished Chana Dal,9500,6,2,8900,1000,FALSE,500
Cooking Essentials,Amul Mithai Mate EOE Tin,11200,2,6,10900,400,FALSE,400
Cooking Essentials,Pillsbury Chakki Fresh Atta,45000,16,6,37500,10000,FALSE,10
Cooking Essentials,Everest Chicken Masala,3900,2,1,3800,50,FALSE,50
Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),20500,7,6,19000,1000,FALSE,1
Cooking Essentials,Borges Extra Virgin Olive Oil,40000,25,1,29900,250,FALSE,250
Cooking Essentials,Everest Shahi Biryani Masala,7000,14,6,6000,50,FALSE,50
Cooking Essentials,Popular Essentials Californian Almond,35000,28,6,25100,250,FALSE,250
Cooking Essentials,Popular Essentials Ajwain Whole,2500,0,4,2500,50,FALSE,50
Cooking Essentials,Everest Tikhalal Chilli Powder,23500,9,6,21200,500,FALSE,500
Cooking Essentials,Popular Essentials Kabuli Chana Regular,8500,9,6,7700,500,FALSE,500
Cooking Essentials,Pillsbury Chakki Fresh Atta,5200,0,4,5200,1000,FALSE,1
Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,4500,2,6,4400,100,FALSE,100
Cooking Essentials,Popular Essentials Bansi Sooji,3500,2,3,3400,500,FALSE,500
Cooking Essentials,Happilo Premium International Queen Kalmi Dates,24500,29,6,17200,200,FALSE,200
Cooking Essentials,Tata Sampann Unpolished Urad Whole,10100,6,4,9400,500,FALSE,500
Cooking Essentials,Popular Essentials Cashew Split,32500,12,6,28300,250,FALSE,250
Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),6000,10,6,5400,500,FALSE,500
Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),13400,6,6,12500,500,FALSE,500
Cooking Essentials,Everest Garam Masala,4200,2,2,4100,50,FALSE,50
Cooking Essentials,Everest Kitchen King Masala,7000,14,2,6000,100,FALSE,100
Cooking Essentials,24 Mantra Organic Cumin,7000,7,2,6500,100,FALSE,100
Cooking Essentials,Nestle Milkmaid,13200,3,6,12800,400,FALSE,400
Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,6500,9,6,5900,1000,FALSE,1
Cooking Essentials,24 Mantra Organic Tur Dal,26000,20,6,20800,1000,FALSE,1
Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,9900,10,6,8900,200,FALSE,200
Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),6500,10,3,5800,500,FALSE,500
Cooking Essentials,24 Mantra Organic Peanuts,13500,7,1,12500,500,FALSE,500
Cooking Essentials,Everest Hingraj Powder,9000,10,2,8100,50,FALSE,50
Cooking Essentials,Everest Black Pepper Powder,13500,14,6,11500,100,FALSE,100
Cooking Essentials,Tata Sampann Masoor Dal Stand,15000,10,4,13400,1000,FALSE,1
Cooking Essentials,24 Mantra Organic Besan,9500,7,5,8800,500,FALSE,500
Cooking Essentials,Quaker Oats,19900,7,6,18400,1000,FALSE,1
Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),48500,7,6,44900,2000,FALSE,2
Cooking Essentials,Nestle Everyday Dairy Whitener,21000,0,4,21000,400,FALSE,400
Cooking Essentials,24 Mantra Organic Red Poha,7500,8,1,6900,500,FALSE,500
Cooking Essentials,Everest Powder - Tea Masala,9800,9,5,8900,100,FALSE,100
Cooking Essentials,Tata Sampann Urad Dal Split,9400,4,6,9000,500,FALSE,500
Cooking Essentials,Popular Essentials Idli Sooji,3000,6,6,2800,500,FALSE,500
Cooking Essentials,Popular Essentials Dessicated Coconut,9500,9,6,8600,200,FALSE,200
Cooking Essentials,Sunfeast Yippee! Mood Masala Noodles,6000,28,3,4300,260,FALSE,260
Cooking Essentials,Chef's Basket Durum Wheat Elbow Pasta,16000,50,6,8000,500,FALSE,500
Cooking Essentials,MTR Breakfast Khatta Meetha Poha Mix,2500,20,6,2000,60,FALSE,60
Cooking Essentials,Satyam Khobra,11300,10,5,10100,200,FALSE,200
Cooking Essentials,Betty Crocker Complete Pancake Mix Original,11000,4,6,10500,250,FALSE,500
Cooking Essentials,Borges Durum Wheat Fusilli Pasta,25000,0,3,25000,500,FALSE,500
Cooking Essentials,24 Mantra Organic Green Moong Dal - Split,13500,0,2,13500,500,FALSE,500
Cooking Essentials,Weikfield Vanilla Flavoured Custard Powder,3700,0,6,3700,100,FALSE,100
Cooking Essentials,Tata Sampann Moong Dal Split,18000,1,5,17800,1000,FALSE,200
Cooking Essentials,Tata Sampann Kala Chana,6400,0,5,6400,500,FALSE,500
Cooking Essentials,Saffola Soya Chunks Mealmaker,5000,0,2,5000,200,FALSE,200
Cooking Essentials,24 Mantra Bura Sugar (Demerara),8000,10,6,7200,500,FALSE,500
Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),20000,1,6,19800,50,FALSE,50
Cooking Essentials,Hershey's Syrup Delicious Strawberry,9500,0,1,9500,200,FALSE,200
Cooking Essentials,Popular Essentials Anjeer,19000,11,4,16900,100,FALSE,100
Cooking Essentials,Popular Essentials Mustard Seeds Rai Small,2000,0,2,2000,100,FALSE,100
Cooking Essentials,Weikfield Baking Powder,3300,3,6,3200,100,FALSE,100
Cooking Essentials,Dabur Honey Squeezy,18500,9,6,16700,225,FALSE,225
Cooking Essentials,Tata Sampann High Protein Kali Urad,9100,14,6,7800,500,FALSE,500
Cooking Essentials,Everest Kitchen King Masala,3700,2,6,3600,50,FALSE,50
Cooking Essentials,Chef's Basket Durum Wheat Fusilli Pasta,16000,50,6,8000,500,FALSE,500
Cooking Essentials,TilSona Til Oil,18000,10,2,16200,500,FALSE,500
Cooking Essentials,Top Ramen Chicken Noodles,6000,10,1,5400,280,FALSE,280
Cooking Essentials,Everest Chaat Masala,3500,2,1,3400,50,FALSE,50
Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,8900,10,2,8000,40,FALSE,40
Cooking Essentials,Popular Essentials White Peas (Un-Polished),8000,10,5,7200,500,FALSE,500
Cooking Essentials,Ching’s Secret Chowmein Hakka Noodles Masala,4400,0,2,4400,60,FALSE,60
Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),105000,1,6,103500,5000,FALSE,5
Cooking Essentials,Pillsbury Choco Chip Pancake Mix,9900,5,6,9400,165,FALSE,165
Cooking Essentials,Hershey's Caramel Syrup,23000,0,1,23000,623,FALSE,623
Cooking Essentials,Pillsbury Multi Grain Atta,6000,6,3,5600,1000,FALSE,1
Cooking Essentials,McCain New Mini Samosa with Cheese Corn Style Filling,12000,1,2,11800,240,FALSE,240
Cooking Essentials,Satyam Puffed Rice Kurmura (A),4300,0,6,4300,200,FALSE,200
Cooking Essentials,MTR 3 Min Poha,2500,0,6,2500,60,FALSE,60
Cooking Essentials,Ching's Manchurian Instant Noodles,1500,0,5,1500,60,FALSE,60
Cooking Essentials,Everest Pav Bhaji Masala,7000,0,2,7000,100,FALSE,100
Cooking Essentials,Hershey's Chocolate Flavour Syrup,22000,6,6,20500,623,FALSE,680
Cooking Essentials,Popular Essentials Dhania (Coriander Seeds),5500,16,4,4600,200,FALSE,200
Cooking Essentials,24 Mantra Red Chilly Whole,7000,7,1,6500,100,FALSE,100
Cooking Essentials,Dabur Honey - World's No.1,12000,0,6,12000,250,FALSE,250
Cooking Essentials,24 Mantra Organic Puffed Rice,4000,2,6,3900,200,FALSE,200
Cooking Essentials,24 Mantra Organic Wheat Daliya,4800,2,2,4700,500,FALSE,500
Cooking Essentials,24 Mantra Organic Ragi Flour,6500,20,4,5200,500,FALSE,500
Cooking Essentials,Popular Essentials Cinnamon Whole (Dalchini),3500,5,6,3300,25,FALSE,25
Cooking Essentials,Sundrop Super Lite Advanced - Sunflower Oil,21500,0,4,21500,1000,FALSE,1
Cooking Essentials,Pillsbury Atta/Godihittu - Chakki Fresh,10200,7,4,9400,2000,FALSE,2
Cooking Essentials,Popular Essentials Green Moong Chilka/Chilka (Un-Polished),8500,7,5,7900,500,FALSE,500
Cooking Essentials,Popular Essentials HMT Kolam Steam,7500,0,3,7500,1000,FALSE,1
Cooking Essentials,Popular Essentials Black Urad Split,8000,10,4,7200,500,FALSE,500
Cooking Essentials,Keya Oregano,10900,10,5,9800,9,FALSE,9
Cooking Essentials,Popular Essentials Pink Rajma,10000,10,6,9000,500,FALSE,500
Cooking Essentials,Everest Chicken Masala,7400,2,6,7200,100,FALSE,100
Cooking Essentials,Popular Essentials HMT Kolam Steam,37000,10,6,33300,5000,FALSE,5
Cooking Essentials,Everest Shahi Paneer Masala,4200,4,5,4000,50,FALSE,50
Cooking Essentials,Godrej Yummiez Chicken Nuggets,32500,9,1,29300,500,FALSE,500
Cooking Essentials,Flying Bird Vanilla Essence,3500,2,6,3400,20,FALSE,20
Cooking Essentials,Everest Sabji Masala,3000,3,6,2900,50,FALSE,50
Cooking Essentials,Popular Essentials Californian Almond,69500,32,6,47000,500,FALSE,500
Cooking Essentials,Cornitos Cornitos Taco Shells - 4 Inches,11000,20,6,8800,80,FALSE,80
Cooking Essentials,Everest Rajma Masala,3300,3,5,3200,50,FALSE,50
Cooking Essentials,Popular Essentials White Til,4000,5,1,3800,100,FALSE,100
Cooking Essentials,Amul Dark Compound Chocolate Slab,12500,2,6,12200,500,FALSE,500
Cooking Essentials,Mothers Recipe Papad Chana Masala,7900,10,6,7100,200,FALSE,200
Cooking Essentials,Ching's Schezwan Masala Instant Noodles,6000,0,1,6000,240,FALSE,240
Cooking Essentials,Amul Milk Compound Chocolate Slab,11000,2,6,10700,500,FALSE,500
Cooking Essentials,Eastern Chicken Masala,7000,7,3,6500,100,FALSE,100
Cooking Essentials,Popular Essentials Methi Seeds,2500,0,5,2500,100,FALSE,100
Cooking Essentials,Saffola Yummy Masala Noodles,2000,0,2,2000,46,FALSE,46
Cooking Essentials,Cadbury Hot Chocolate,17500,5,6,16600,200,FALSE,200
Cooking Essentials,Ching's Chicken Chilli Masala,1000,0,6,1000,20,FALSE,20
Cooking Essentials,Dabur Keora water - Authentic flavour for Biryani's and Desserts,6200,6,6,5800,250,FALSE,250
Cooking Essentials,Popular Essentials Black Cardamom/Elaichi,10000,10,6,9000,50,FALSE,50
Cooking Essentials,Popular Essentials Idli Rice,6000,10,4,5400,1000,FALSE,1
Cooking Essentials,Everest Chole Masala,3300,3,1,3200,50,FALSE,50
Cooking Essentials,Dabur Hommade Tamarind Paste,4800,6,6,4500,200,FALSE,200
Cooking Essentials,"""Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)""",3500,2,6,3400,48,FALSE,48
Cooking Essentials,Popular Essentials Cooking Soda,3000,10,6,2700,200,FALSE,200
Cooking Essentials,RRO Primio Refined Groundnut Oil Pet Bottle,25500,6,2,23900,1000,FALSE,1
Cooking Essentials,Everest Pani Puri Masala,3100,3,6,3000,50,FALSE,50
Cooking Essentials,Nissin Cup Noodles Tangy Tomato,5000,10,2,4500,70,FALSE,70
Cooking Essentials,Ching's Veg Manchurian Masala,1000,0,2,1000,20,FALSE,20
Cooking Essentials,Ceres Foods Fish Mustard Instant Liquid Masala,22000,50,6,11000,200,FALSE,200
Cooking Essentials,Everest Garam Masala,15800,10,6,14200,200,FALSE,200
Cooking Essentials,24 Mantra Organic Jowar Flour,7000,7,6,6500,500,FALSE,500
Cooking Essentials,Maggi Coconut Milkpowder,10000,0,6,10000,100,FALSE,100
Cooking Essentials,On1y Pepper Grinder,15900,9,1,14400,50,FALSE,50
Cooking Essentials,Popular Essentials Rice Flour,6000,0,3,6000,1000,FALSE,1
Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,10,1,2500,65,FALSE,65
Cooking Essentials,24 Mantra Organic Brown Sona Masoori Rice,9500,0,6,9500,1000,FALSE,1
Cooking Essentials,Happilo Premium Afghani Anjeer,36500,29,2,25600,200,FALSE,200
Cooking Essentials,Popular Essentials Chiroti Sooji,3500,2,6,3400,500,FALSE,500
Cooking Essentials,RRO Til Dil Premium Til Oil Bottle,33000,10,5,29400,1000,FALSE,1
Cooking Essentials,Popular Essentials Red Rajma,9000,10,6,8100,500,FALSE,500
Cooking Essentials,Cornitos Peanut - Premium Salted,12000,10,6,10800,150,FALSE,150
Cooking Essentials,Popular Essentials Black Pepper,10000,10,5,9000,100,FALSE,100
Cooking Essentials,24 Mantra Organic Tur Dal - Split,13000,7,6,12000,500,FALSE,500
Cooking Essentials,Sugarfree Gold Low Calorie Sweetner,6500,6,3,6100,110,FALSE,100
Cooking Essentials,Ching's Secret Paneer Chilli Masala,1000,0,2,1000,20,FALSE,20
Cooking Essentials,Dabur Honey,22000,7,3,20400,500,FALSE,500
Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,17,3,2300,65,FALSE,65
Cooking Essentials,Everest Tea Masala,5500,9,2,5000,50,FALSE,50
Cooking Essentials,Ching's Paneer Chilli Masala,4400,0,4,4400,60,FALSE,60
Cooking Essentials,Sunfeast YiPPee! Magic Masala Noodles,7000,10,3,6300,405,FALSE,405
Cooking Essentials,Everest Meat Masala Powder,7400,9,3,6700,100,FALSE,100
Cooking Essentials,Pillsbury Atta With Multigrains Wheat Grains,29500,16,6,24500,5000,FALSE,5
Cooking Essentials,Mother's Recipe Tamarind Paste,5000,2,6,4900,200,FALSE,200
Cooking Essentials,Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,4900,8,6,4500,200,FALSE,200
Cooking Essentials,Popular Essentials Cloves (Lavang),7500,17,6,6200,50,FALSE,50
Cooking Essentials,Sunfeast Yippee! Power Up Atta Noodles,9600,15,6,8100,280,FALSE,280
Cooking Essentials,Suhana Paneer Tikka Masala Mix,4000,5,6,3800,50,FALSE,50
Cooking Essentials,24 Mantra Turmeric Powder,3500,2,6,3400,100,FALSE,100
Cooking Essentials,24 Mantra Super Grain Quinoa,19000,0,4,19000,500,FALSE,500
Cooking Essentials,Everest Powder - Egg Curry Masala,4000,2,6,3900,50,FALSE,50
Cooking Essentials,Popular Essentials Pe Shah Jeera,6000,15,6,5100,50,FALSE,50
Cooking Essentials,24 Mantra Organic Sattu Atta,9500,0,6,9500,500,FALSE,500
Cooking Essentials,Smith & Jones Pasta Masala,4600,0,6,4600,54,FALSE,54
Cooking Essentials,Weikfield Vanilla Custard Powder,14200,9,3,12800,500,FALSE,500
Cooking Essentials,Sugarfree Natura Low Calorie Sweetner,30000,10,3,27000,42,FALSE,42
Cooking Essentials,Pillsbury Vanilla Custard Powder,3700,2,6,3600,100,FALSE,100
Cooking Essentials,24 Mantra Organic Rajma,14500,0,6,14500,500,FALSE,500
Cooking Essentials,Popular Essentials Broken Wheat/Daliya,3500,2,6,3400,500,FALSE,500
Cooking Essentials,Zorabian Chicken Smoked Ham,20500,5,1,19400,250,FALSE,250
Cooking Essentials,Smith & Jones Peri Peri Masala,9900,0,6,9900,75,FALSE,75
